TABLE 7. Epstein-Fourier Coefficients for Pedersen Conductivity
Kp,     term,      maxvalue,  maxlatitude,   up-slope,    down-slope
K6, Constant,     7.4172917,   66.4729167,   .9703229,    -.7516958
K6,     Cos1,     5.1378548,   -4.5011062,   .6465420,    -.3948450
K6,     Cos2,    -1.1244043,     .0542128,  -.3786114,     .1043948
K6,     Cos3,     -.0568033,    -.3201861,  -.1429368,     .0603873
K6,     Cos4,      .7238344,    -.7941542,   .2095081,    -.0394841
K6,     Cos5,      .4950576,    -.1298506,   .1466138,    -.0799316
K6,     Cos6,      .1960477,     .0437591,  -.0688452,     .0538642
K6,     Sin1,     1.3627671,   -1.1403526,   .2885864,    -.3226968
K6,     Sin2,     -.4804401,    1.3588885,   .0097264,    -.1102806
K6,     Sin3,      .2477993,    -.3788762,  -.0096195,    -.1443434
K6,     Sin4,     -.0053384,    -.2815735,  -.0565773,     .0192470
K6,     Sin5,     -.0993957,     .1621495,  -.0179974,    -.0414077
K6,     Sin6,      .2929164,    -.0907934,   .0712223,    -.1096790
