year,MM,DOI,url,Month_Num
2019,Jan,https://doi.org/10.5281/zenodo.7823912,https://zenodo.org/records/7823912,1
2019,Feb,https://doi.org/10.5281/zenodo.7823907,https://zenodo.org/records/7823907,2
2019,Mar,https://doi.org/10.5281/zenodo.7823895,https://zenodo.org/records/7823895,3
2019,Apr,https://doi.org/10.5281/zenodo.7823887,https://zenodo.org/records/7823887,4
2019,May,https://doi.org/10.5281/zenodo.7823868,https://zenodo.org/records/7823868,5
2019,Jun,https://doi.org/10.5281/zenodo.7823846,https://zenodo.org/records/7823846,6
2019,Jul,https://doi.org/10.5281/zenodo.7823830,https://zenodo.org/records/7823830,7
2019,Aug,https://doi.org/10.5281/zenodo.7823816,https://zenodo.org/records/7823816,8
2019,Sep,https://doi.org/10.5281/zenodo.7823807,https://zenodo.org/records/7823807,9
2019,Oct,https://doi.org/10.5281/zenodo.7823790,https://zenodo.org/records/7823790,10
2019,Nov,https://doi.org/10.5281/zenodo.7823782,https://zenodo.org/records/7823782,11
2019,Dec,https://doi.org/10.5281/zenodo.7823772,https://zenodo.org/records/7823772,12
2020,Jan,https://doi.org/10.5281/zenodo.7823737,https://zenodo.org/records/7823737,1
2020,Feb,https://doi.org/10.5281/zenodo.7823708,https://zenodo.org/records/7823708,2
2020,Mar,https://doi.org/10.5281/zenodo.7823696,https://zenodo.org/records/7823696,3
2020,Apr,https://doi.org/10.5281/zenodo.7823664,https://zenodo.org/records/7823664,4
2020,May,https://doi.org/10.5281/zenodo.7823640,https://zenodo.org/records/7823640,5
2020,Jun,https://doi.org/10.5281/zenodo.7823612,https://zenodo.org/records/7823612,6
2020,Jul,https://doi.org/10.5281/zenodo.7823578,https://zenodo.org/records/7823578,7
2020,Aug,https://doi.org/10.5281/zenodo.7823548,https://zenodo.org/records/7823548,8
2020,Sep,https://doi.org/10.5281/zenodo.7823520,https://zenodo.org/records/7823520,9
2020,Oct,https://doi.org/10.5281/zenodo.7823476,https://zenodo.org/records/7823476,10
2020,Nov,https://doi.org/10.5281/zenodo.7823453,https://zenodo.org/records/7823453,11
2020,Dec,https://doi.org/10.5281/zenodo.7823406,https://zenodo.org/records/7823406,12
2021,Jan,https://doi.org/10.5281/zenodo.7823165,https://zenodo.org/records/7823165,1
2021,Feb,https://doi.org/10.5281/zenodo.7823053,https://zenodo.org/records/7823053,2
2021,Mar,https://doi.org/10.5281/zenodo.7822974,https://zenodo.org/records/7822974,3
2021,Apr,https://doi.org/10.5281/zenodo.7822938,https://zenodo.org/records/7822938,4
2021,May,https://doi.org/10.5281/zenodo.7822876,https://zenodo.org/records/7822876,5
2021,Jun,https://doi.org/10.5281/zenodo.7822652,https://zenodo.org/records/7822652,6
2021,Jul,https://doi.org/10.5281/zenodo.7822373,https://zenodo.org/records/7822373,7
2021,Aug,https://doi.org/10.5281/zenodo.7822171,https://zenodo.org/records/7822171,8
2021,Sep,https://doi.org/10.5281/zenodo.7822024,https://zenodo.org/records/7822024,9
2021,Oct,https://doi.org/10.5281/zenodo.7821950,https://zenodo.org/records/7821950,10
2021,Nov,https://doi.org/10.5281/zenodo.7821883,https://zenodo.org/records/7821883,11
2021,Dec,https://doi.org/10.5281/zenodo.7821803,https://zenodo.org/records/7821803,12
